pr_date,age_group,count_of_case
2022-07-11,70 years old and above,333
2022-07-12,70 years old and above,394
2022-07-13,70 years old and above,1029
2022-07-14,70 years old and above,815
2022-07-15,70 years old and above,695
2022-07-16,70 years old and above,687
2022-07-17,70 years old and above,612
2022-07-18,70 years old and above,498
2022-07-19,70 years old and above,865
2022-07-20,70 years old and above,665
2022-07-21,70 years old and above,634
2022-07-22,70 years old and above,659
2022-07-23,70 years old and above,673
2022-07-24,70 years old and above,527
2022-07-25,70 years old and above,395
2022-07-26,70 years old and above,799
2022-07-27,70 years old and above,610
2022-07-28,70 years old and above,620
2022-07-29,70 years old and above,656
2022-07-30,70 years old and above,497
2022-07-31,70 years old and above,476
2022-08-01,70 years old and above,358
2022-08-02,70 years old and above,661
2022-08-03,70 years old and above,559
2022-08-04,70 years old and above,475
2022-08-05,70 years old and above,534
2022-08-06,70 years old and above,467
2022-08-07,70 years old and above,482
2022-07-11,60 - 69 years old,350
2022-07-12,60 - 69 years old,496
2022-07-13,60 - 69 years old,1475
2022-07-14,60 - 69 years old,964
2022-07-15,60 - 69 years old,944
2022-07-16,60 - 69 years old,874
2022-07-17,60 - 69 years old,654
2022-07-18,60 - 69 years old,504
2022-07-19,60 - 69 years old,1207
2022-07-20,60 - 69 years old,872
2022-07-21,60 - 69 years old,881
2022-07-22,60 - 69 years old,817
2022-07-23,60 - 69 years old,752
2022-07-24,60 - 69 years old,616
2022-07-25,60 - 69 years old,477
2022-07-26,60 - 69 years old,1171
2022-07-27,60 - 69 years old,764
2022-07-28,60 - 69 years old,736
2022-07-29,60 - 69 years old,700
2022-07-30,60 - 69 years old,633
2022-07-31,60 - 69 years old,510
2022-08-01,60 - 69 years old,384
2022-08-02,60 - 69 years old,918
2022-08-03,60 - 69 years old,590
2022-08-04,60 - 69 years old,564
2022-08-05,60 - 69 years old,569
2022-08-06,60 - 69 years old,507
2022-08-07,60 - 69 years old,457
2022-07-11,40 - 59 years old,1226
2022-07-12,40 - 59 years old,1590
2022-07-13,40 - 59 years old,4654
2022-07-14,40 - 59 years old,3087
2022-07-15,40 - 59 years old,2904
2022-07-16,40 - 59 years old,2441
2022-07-17,40 - 59 years old,1880
2022-07-18,40 - 59 years old,1678
2022-07-19,40 - 59 years old,3921
2022-07-20,40 - 59 years old,2769
2022-07-21,40 - 59 years old,2657
2022-07-22,40 - 59 years old,2488
2022-07-23,40 - 59 years old,2212
2022-07-24,40 - 59 years old,1607
2022-07-25,40 - 59 years old,1510
2022-07-26,40 - 59 years old,3495
2022-07-27,40 - 59 years old,2303
2022-07-28,40 - 59 years old,2250
2022-07-29,40 - 59 years old,2149
2022-07-30,40 - 59 years old,1740
2022-07-31,40 - 59 years old,1373
2022-08-01,40 - 59 years old,1296
2022-08-02,40 - 59 years old,2946
2022-08-03,40 - 59 years old,1962
2022-08-04,40 - 59 years old,1789
2022-08-05,40 - 59 years old,1712
2022-08-06,40 - 59 years old,1508
2022-08-07,40 - 59 years old,1222
2022-07-11,20 - 39 years old,1554
2022-07-12,20 - 39 years old,2087
2022-07-13,20 - 39 years old,5723
2022-07-14,20 - 39 years old,3949
2022-07-15,20 - 39 years old,3364
2022-07-16,20 - 39 years old,3055
2022-07-17,20 - 39 years old,2168
2022-07-18,20 - 39 years old,2117
2022-07-19,20 - 39 years old,4669
2022-07-20,20 - 39 years old,3514
2022-07-21,20 - 39 years old,3261
2022-07-22,20 - 39 years old,2942
2022-07-23,20 - 39 years old,2398
2022-07-24,20 - 39 years old,1903
2022-07-25,20 - 39 years old,1802
2022-07-26,20 - 39 years old,4044
2022-07-27,20 - 39 years old,2955
2022-07-28,20 - 39 years old,2912
2022-07-29,20 - 39 years old,2578
2022-07-30,20 - 39 years old,2053
2022-07-31,20 - 39 years old,1561
2022-08-01,20 - 39 years old,1556
2022-08-02,20 - 39 years old,3297
2022-08-03,20 - 39 years old,2398
2022-08-04,20 - 39 years old,2254
2022-08-05,20 - 39 years old,2086
2022-08-06,20 - 39 years old,1873
2022-08-07,20 - 39 years old,1517
2022-07-11,12 - 19 years old,330
2022-07-12,12 - 19 years old,441
2022-07-13,12 - 19 years old,1438
2022-07-14,12 - 19 years old,969
2022-07-15,12 - 19 years old,831
2022-07-16,12 - 19 years old,697
2022-07-17,12 - 19 years old,512
2022-07-18,12 - 19 years old,521
2022-07-19,12 - 19 years old,1106
2022-07-20,12 - 19 years old,872
2022-07-21,12 - 19 years old,768
2022-07-22,12 - 19 years old,696
2022-07-23,12 - 19 years old,621
2022-07-24,12 - 19 years old,486
2022-07-25,12 - 19 years old,457
2022-07-26,12 - 19 years old,1111
2022-07-27,12 - 19 years old,796
2022-07-28,12 - 19 years old,740
2022-07-29,12 - 19 years old,682
2022-07-30,12 - 19 years old,584
2022-07-31,12 - 19 years old,424
2022-08-01,12 - 19 years old,416
2022-08-02,12 - 19 years old,969
2022-08-03,12 - 19 years old,672
2022-08-04,12 - 19 years old,581
2022-08-05,12 - 19 years old,483
2022-08-06,12 - 19 years old,449
2022-08-07,12 - 19 years old,351
2022-07-11,0 - 11 years old,503
2022-07-12,0 - 11 years old,735
2022-07-13,0 - 11 years old,1659
2022-07-14,0 - 11 years old,1209
2022-07-15,0 - 11 years old,1089
2022-07-16,0 - 11 years old,937
2022-07-17,0 - 11 years old,812
2022-07-18,0 - 11 years old,660
2022-07-19,0 - 11 years old,1510
2022-07-20,0 - 11 years old,1203
2022-07-21,0 - 11 years old,1117
2022-07-22,0 - 11 years old,1033
2022-07-23,0 - 11 years old,936
2022-07-24,0 - 11 years old,811
2022-07-25,0 - 11 years old,717
2022-07-26,0 - 11 years old,1316
2022-07-27,0 - 11 years old,992
2022-07-28,0 - 11 years old,948
2022-07-29,0 - 11 years old,864
2022-07-30,0 - 11 years old,790
2022-07-31,0 - 11 years old,569
2022-08-01,0 - 11 years old,538
2022-08-02,0 - 11 years old,1086
2022-08-03,0 - 11 years old,761
2022-08-04,0 - 11 years old,728
2022-08-05,0 - 11 years old,664
2022-08-06,0 - 11 years old,622
2022-08-07,0 - 11 years old,596
